古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
在诗句中研究用“推”字还是“敲”字从而发明了推敲一词的是哪位诗人	"推敲”一词出自哪位唐代诗人贾岛的《诗话总龟》
“纳斯达克指数”是哪个国家股票交易的重要指数	美国股市三大指数:道琼斯工业指数、标准普尔500指数、纳斯达克综合指数
“喇嘛”藏语是什么意思	“喇嘛”是藏语“上师”之意
诺基亚手机有哪些型号	这里面有以往的排序,里面也有以上市机的报价 这个是诺基亚的cn主页 http://www.nokia.com.cn/ 诺基亚手机型号多样,市场定位也很复杂,根据型号字头的不
贾岛的名诗《寻隐者不遇》中“松下问童子”的下一句是什么	言师采药去
在十天干中排列在“甲乙丙丁”之后的两个是什么	戊己
俗话说“不求有功”下一句	 但求无过
方文山与五鬼之一的白福撞脸导致大家误以为他曾参演过哪部经典电视剧	新白娘子传奇
汉语拼音的单元音有a，o，e，i，u和哪个字母	只需要记住一点就够了:日语的发音时,嘴唇没有汉语发音那么圆,相对比较扁
《北京人》是哪位话剧大师创作于1940年的第四部杰作	曹禺《北京人》的主题是什么《北京人》是曹禺创作于1940年的第四部杰作
以羊为原型的2012年伦敦奥运会的吉祥物叫什么名字	没记错的话,应该是文洛克~
中国近代史上中国人民第一次大规模的反侵略武装斗争是什么斗争	A 它对英国侵略者的沉重打击,极大地鼓舞了中国人民不畏强暴,敢于同西方列强拼搏的斗争勇气.它是近代中国人民反侵略斗争的第一面光辉旗帜
第一支获得女足世界杯冠军的亚洲国家是哪个国家	日本
主演了《教父》三部曲和《闻香识女人》的美国男演员是谁	艾尔·
俗话说“乘兴而来”的后半句是什么	败兴而归兴尽而归兴尽而去
《红楼梦》中的女主人公林黛玉的亲身是哪种植物	绛珠仙草
名著《水浒传》中水泊梁山上立有一面大旗上面写了四个大字是	替天行道
端午节我们吃的粽子是用哪种传统主食作为主要原料	糯米
“我自横刀向天笑，去留肝胆两昆仑”是近代哪位著名人士的豪言	谭嗣同 的豪
《无以伦比》是哪位台湾男歌手演唱会的名字	周杰伦
“初出茅庐”中茅庐的本意指谁的住处	初出茅庐中的茅庐本意指诸葛亮的住处初出茅庐 ( chū chū máo lú ) 解 释 原比喻新露头脚.现比喻刚离开家庭或学校出来工作.缺乏经验.出 处 《
中国首位获得田径界顶级荣誉欧文斯奖的是哪位女子长跑运动员	王军霞 运动竞技3
号召推翻清朝统治的著作《革命军》的作者是哪位与秋瑾齐名的演说家	邹容
俗话说的“百善之首”是哪种品德	“百善之首” 孝
由高圆圆主演的电影《单身男女》的插曲是王菲演唱的哪首歌曲	《我愿意》
武侠瞎说《射雕英雄传》中，梅超风是被谁打瞎双眼的	黄药师,外号“东邪”,“天下五绝”之一,是金庸武侠小说《射雕英雄传》和《神雕侠侣》中的角色
2012年美国奥斯卡奖最佳影片奖是哪部影片	《艺术家》
电视剧《金粉世家》改编自哪位作家的同名小说	张恨水
在《北京爱情故事》中出演程峰外号“疯子”并是该片导演的人是谁	陈思成
俗语中形容人贪心不知足常用“吃着碗里”下一句是	看着锅
张艺谋执导的电影《秋菊打官司》中饰演秋菊的演员是是谁	巩俐
人无远虑	没有一个人说到点子上的
日本多少人口	12
想知道马的年龄可以看它的什么地方	以看它的 牙齿
越南货币的主币名称叫什么	盾
NBA主场在芝加哥的球队是	1896年,美国第一个篮球组织"全国篮球联盟(简称NBL)"成立,但当时篮球规则还不完善,组织机构也不健全,经过几个赛季后,该组织就名存实亡了
我国建筑行业工程质量最高荣誉奖叫什么奖	1 1
中医理论中“喜伤心，哀伤脾”那么什么伤肝	中医理论中“喜伤心,哀伤脾”怒伤肝
新中国成立初期的临时宪法叫什么名字	《中国人民政治协商会议共同纲领》
PLO的全称是什么	PoloRalphLauren(NYSE:RL)是一个美国服装品牌,创始人为服装设计师拉尔夫·劳伦(RalphLauren)
国际职业网球联合会的英文简称是哪三个字母	 ——ATP 2
刘德凯主演的电视剧《一帘幽梦》中紫菱的扮演者是哪位女明星	陈德容
2002年，一部改编自古龙笔下的经典侠盗人物并由吴奇隆主演的电视剧叫什么	《萧十一郎》
《西游记》中，要成功摘到人参果必须使用一种什么特殊的工具	金击子
我国的国球指的是哪项体育运动	中国的国球是乒乓球
公元前207年，项羽以5万军力一举击败20万秦军的是哪场著名战役	巨鹿之战
欧洲国家拉脱维亚的首都是哪个有"波罗的海跳动的心脏"美誉的城市	“波罗的海跳动的心脏” 里加
有声电影何时问世	有声电影何时问世
位于祖国正北方内蒙古自治区中部，简称为二连的是哪个市	二连浩特
《金石录》是由李清照和哪位金石学家一起撰写的	 赵
清朝“八旗”中的上三旗是正黄旗，正白旗和什么旗	满洲八旗有上三旗和下五旗之分
克里姆林宫是哪个国家的标志性建筑物	克里姆林宫是俄罗斯国家的标志性建筑
宋朝的开国皇帝是谁	宋太祖赵匡胤(927-976),中国北宋王朝的建立者,汉族,涿州(今河北)人
动漫《名侦探柯南》中，毛利兰是哪项武术运动的高手	空手道哦,而且多次获奖
被誉为“悲剧之父”的古希腊诗人是谁	埃斯库罗斯
哪位代表作有《同桌的你》的男歌手在2011年因醉驾被判入狱六个月	高晓松
全垒打是哪个体育项目的得分手段之一	哈佛大学注重对体育教学的培养,体育部以“全体学生的体育运动”为己任
法学经典《论法的精神》的作者是哪位法国大思想家	孟德斯鸠
TMJ有什么含义	组成:颞下颌关节,即TMJ
始于汉武帝刘彻，护卫皇帝、皇家、皇城的特殊军队叫什么	中国各朝各代古代护卫皇城的军队称御林军,亦称“羽林军”,顾名思义,在中国是护卫皇帝、皇家、皇城的特殊军
南宋开国皇帝，也就是宋高宗，叫什么名字	赵构/赵德基
我国体操运动员刘璇在哪个城市举办的奥运会上获得了“平衡木”这一项目的冠军	悉尼
由太平洋一座无人岛屿命名的一种女性泳装服侍叫什么	比基尼哦
由杨幂主演的清宫剧《宫》的剧名全称是什么	宫锁心玉
我们形容对阵两方都有不俗实力时会说“针尖对什么”	麦芒
电影《最爱》中与郭富城演对手戏的是哪位内地女明星	马伊琍 马伊琍
张国立版《铁齿铜牙纪晓岚》中，小月是谁饰演的	袁莉 袁莉
与韩愈并称为“韩柳”的唐宋八大家之一的人是谁	柳宗元
联想公司的开创者，现任联想集团名誉董事的企业家是	柳传志
《孔子家语》中良药苦口利于病，的下一句	忠言逆耳利于
长江最后注入我国哪个海	黄河最后流入渤海;长江最后流入东海!
在windows7系统中，我们常用哪个按键加上shift来切换输入法	Ctrl
黄梅戏中经典选段《天仙配》“树上的鸟儿成双对”的下一句是	绿水青山带笑颜
阿尔及利亚什么时候成为了殖民地	法国占的面积最大,但英国的殖民地人口最多,也就是最富庶的地区
美国哪座城市被称作“凤凰城”	菲尼克斯
我国著名运动员张娟娟是哪个项目运动员	射箭
国际象棋的棋盘共有多少个方格	8
《大河之舞》是爱尔兰什么物种的舞剧	踢踏舞 的舞剧
“侬”在上海话里面表示什么	是xia(第三声)ya(第一声)浓.谢谢你的意思
川菜以麻辣闻名，而其中的麻味来自于什么调料	花椒
被称为“核弹头”的乌克兰足球明星是谁	舍甫琴科
做意大利面条要用哪种烹饪用具	干燥的意大利面需要选用硬小麦粉,它的质地细腻,面筋含量非常高
《不得不爱》是由弦子和哪位男歌手共同演唱的	潘玮柏
154医院属于哪个部队呀	不,空军医院被原来的153医院兼并了
上海地区规定最低工资范围是多少	2014
毛宁的歌曲《涛声依旧》中，“这一张旧船票”的下一句是什么	这一张旧船票 能否登上你的客船 月落乌啼总是千年的风霜 涛声依旧不见当初的...2010-08-09 毛宁《涛声依旧》的歌词!最好给个这首歌的高清MV地址!
二战中著名的敦刻尔克大撤退的军事行动代号是什么计划	 发电机计划20、西
按照国际时区划分，我国新疆与北京的时差有几个小时	虽然中国统一使用北京时间,.北京在东八区,新疆在东六区,按照东加西减的规律,北京和新疆时差为2小时(比如北京17点,新
唐朝的都城长安是今天的哪座城市	唐朝的都城长安,即今日的陕西省西安
2004年由佘诗曼、黎姿、陈豪、邓萃雯主演的清宫争斗大戏是哪一步	《金枝欲孽》
世界知名的德国汽车品牌奔驰的总部设在哪个城市	斯图加特
海牛的食物是什么	这个是地衣中的一种,也就是我们常见的苔藓差不多,但是种类有区别,地衣(lichen)是真菌[1] 和光合生物(绿藻或蓝细菌)
在世界杯历史上获得冠军次数最多的是哪个球队	最多的 巴西
常用“精神胜利法”来自我安慰的是鲁迅笔下的哪个人物	阿 Q
美国人平均寿命多少	72
俄罗斯的领土大部分在哪块大陆	俄罗斯领土大部分地区处于北温带,气候多样,以温带大陆性气候为主,但北极圈以北属于寒带气候
《醉赤壁》、《曹操》等脍炙人口的歌曲都是哪位男歌手的代表作	林俊杰 的代表作
古巴还生产哪种牌子的白浪姆酒	Lucky Strike,Vegas,Hollywood,Popular,Cohiba(香烟版),还有一种好像叫H-upman吧,记不清了,大体就是这几种
被称为“西伯利亚的蓝眼睛”，也是世界上最深的淡水湖，是什么湖	贝尔加湖
葛洲坝工程使什么鱼濒临灭绝	中华鲟等洄游性繁殖生物等
“五花八门”中的“五花”指的是五行阵中的金、木、水、火和什么	金指的是一种代名词,模拟宇宙中属于金类别的事物
“磁器口”，“解放碑”是我国哪座西南地区城市的著名景点	重庆
被称为“西敏寺”的是英国哪座著名的大教堂	威斯敏斯特大教
幼发拉底河起源什么地方	两河流域,即幼发拉底河和底格里斯河流域,又称美索不达米亚,在希腊文中的含义为"河间之地"
历史上有热河之称的地方是哪里	历史上有热河之称的地方是: 河北省承德 承德原名热河,以水得名
平均温度最低的大陆是哪个洲	B.大陆的地势高峻,是世界平均海拔最高的大洲 其他条件北极都有但它没有地势高峻
在抗美援朝战争中，时任朝鲜的领导人是谁	金日成
安装在汽车前窗，用于清除阻碍视线的雨雪和尘土的部件是什么	雨刷器? 雨刷器是安装在风窗上的重要附件,它的作用是扫除风窗玻璃上妨碍视线的雨雪和尘
“地支”十二地支对应十二生肖，“辰”对应的是哪个生肖	龙
韩磊演唱的歌曲《向天再借五百年》是讲述哪位清朝皇帝故事的电视剧主题曲	康熙 康熙
电影《七宗罪》中老戏骨摩根弗里曼饰演的角色的职业是	?警察
出自元代名曲《琵琶记》中的名句，“我本将心向明月”的下一句是什么	奈何明月照沟渠
由周渝民赵又廷主演的台湾警匪偶像剧是什么	痞子英雄
撒哈拉沙漠的面积多大	世界排名第一的撒哈拉沙漠，总面积有800万平方公
八爪鱼的中文学名是什么	宝利通会议电话!
俄国十月革命发生在哪年	1917 1
一根钢管长10米，第一次截去它的7/第二次又截去余下的1/还剩多少米	10
美国历史上唯一一位蝉联了四届的总统是二战时期的哪位总统	罗斯福
叶念琛执导的电影《隐婚男女》是由陈奕迅和哪位台湾女星主演的	刘若英
相传《三国演义》中“水镜先生”的三个徒弟分别是诸葛亮、庞统和谁	徐庶
用以形容年轻人办事不稳重的俗语“嘴上无毛”的下一句是什么	办事不牢
苏轼《念奴娇.赤壁怀古》中“羽扇纶巾”是形容的哪位人物	周瑜 周瑜
人类器官中唯一有再生功能的器官是五脏中的哪一个	肝脏
美剧《绯闻女孩》中，布莱尔的饰演者是哪一位演员	莉顿·梅斯特
奥运会跳水比赛中，跳板跳水的跳板高几米	这名跳水运动员在水下:7-1-3=3米很高兴为您解答,【the1900】团队为您答题.请点击下面的【选为满意回答】按钮,如果有其他需要帮助的题目,您可以求助
《宰相刘罗锅》、《神医喜来乐》的男主角是我国哪位著名男演员	李保田
《骆驼祥子》这本书告诉了我们什么道理	《骆驼祥子》读后感 中国有这么一个作家,写了这么一本书,书里面有这么一个人
雨果小说《巴黎圣母院》中的男主角，钟楼怪人的名字叫什么	院门前的畸形儿,被称为长相丑陋又聋的钟楼怪人
维苏威火山爆发毁灭的庞贝城与赫库兰尼姆城是属于哪个古帝国的城市	古罗马 的城
我国最长的内流河是	我国最大的内流河—塔里木河
NBA历史上著名的奥本山宫事件中的奥本山宫是哪只NBA球队的主场	底特律活塞
俗语“金无足赤”的下一句是什么	人无完人
象牙有什么功能	象牙由牙质、软骨质及钙盐等独特的混合物形成
张信哲的歌曲《过火》中，“怎么忍心乖你犯了错”下一句是什么	是我给你自由过了火
哪一位瑞典化学家发明了炸药，并且设立了世界著名的科学奖项	诺贝尔
在《神雕侠侣》中绝情谷谷主公孙止的妇人是谁	裘千尺 裘千尺
被称为“中国最美乡村”的婺源是在我国的哪个省	My hometown is located in the northeast of jiangxi province, north of yiyang, known as "book township" and "district", is the national famous
主演《铁娘子》《穿普拉达的女魔头》等经典电影的好莱坞女演员是谁	?梅丽尔•斯特里普
清朝被称为“扬州八怪”的八个人中以画竹子闻名的是哪一位	当然是郑燮,即郑板桥
我国统一急救中心电话号码是多少	120
位于我国新疆阿勒泰地区，传说有湖怪出没的著名淡水湖叫什么名字	喀纳斯湖
朱重八是哪位皇帝的本名	是以前当过和尚和乞丐的明太祖朱元璋,他一手开辟了大明朝
以泡泡堂人物为角色的休闲赛车竞速游戏叫什么	跑跑卡丁车
著名演员陈建斌的现任妻子是哪位女演员	蒋勤勤
“皮卡丘”是哪一部动画片中的动漫形象	《宠物小精灵》
我们在比喻办事中途退缩的时候常称为打什么鼓	退堂鼓,.,/
享有“东方夏威夷”之称，泰国东海岸边的海景度假胜地叫什么	芭提雅,风景美如画啊
哪天被定为母亲节	一 儿童节,也叫"六一国际儿童节",二、每年5月的第2个星期日是母亲节,三、没年的六月第3个星期日是父亲节 儿童节,也叫"六一国际儿童节",每年的6
所谓“巴以冲突”指的是以色列和哪个国家之间的冲突	巴勒斯坦
CDMA手机上网速度有多快	满足你的要求的机子很多哈,并且以电信版的手机为主哈
